,0
Aguirre GK,9
D'Esposito M,42
Jueptner M,1
Stephan KM,1
Frith CD,31
Brooks DJ,1
Frackowiak RS,21
Passingham RE,20
Fink GR,83
Pietrzyk U,3
Small DM,10
Jones-Gotman M,5
Zatorre RJ,23
Petrides M,25
Evans AC,14
Sahraie A,1
Weiskrantz L,1
Barbur JL,1
Simmons A,44
Williams SC,64
Brammer MJ,41
Sadato N,67
Yonekura Y,13
Waki A,1
Yamada H,5
Ishii Y,1
Thompson-Schill SL,17
Farah MJ,4
Whalen PJ,11
Rauch SL,18
Etcoff NL,1
McInerney SC,2
Lee MB,1
Jenike MA,2
Sakai K,9
Hikosaka O,3
Miyauchi S,11
Takino R,3
Sasaki Y,3
Putz B,1
Buckner RL,16
Goodman J,1
Burock M,1
Rotte M,14
Koutstaal W,4
Schacter D,1
Rosen B,9
Dale AM,7
Spitzer M,11
Kischka U,3
Guckel F,1
Bellemann ME,1
Kammer T,3
Seyyedi S,1
Weisbrod M,4
Schwartz A,1
Brix G,1
Kelley WM,12
Miezin FM,13
McDermott KB,5
Raichle ME,21
Cohen NJ,6
Ollinger JM,5
Akbudak E,5
Conturo TE,5
Snyder AZ,27
Petersen SE,29
LaBar KS,11
Gatenby JC,4
Gore JC,15
LeDoux JE,3
Phelps EA,8
Buchel C,64
Morris J,1
Dolan RJ,81
Friston KJ,38
Zarahn E,13
Ballard D,1
Shin RK,1
Lease J,2
Vaina LM,4
Belliveau JW,5
des Roziers EB,1
Zeffiro TA,10
Corbetta M,12
Drury HA,1
Linenweber MR,1
Van Essen DC,4
Shulman GL,10
Culham JC,24
Brandt SA,2
Cavanagh P,1
Kanwisher NG,1
Tootell RB,5
Lobel E,4
Kleine JF,1
Bihan DL,1
Leroy-Willig A,1
Berthoz A,10
Wildgruber D,13
Ackermann H,13
Klose U,1
Grodd W,30
Porro CA,9
Cettolo V,1
Francescato MP,1
Baraldi P,4
Van Der Werf YD,2
Weerts JG,1
Jolles J,13
Witter MP,4
Lindeboom J,2
Scheltens P,7
Lumer ED,1
Rees G,31
Callicott JH,12
Mattay VS,18
Bertolino A,17
Finn K,1
Coppola R,4
Frank JA,1
Goldberg TE,9
Weinberger DR,20
Toni I,30
Schluter ND,1
Josephs O,10
Friston K,12
Lockwood AH,2
Salvi RJ,1
Coad ML,2
Arnold SA,1
Wack DS,3
Murphy BW,1
Burkard RF,3
Denton D,1
Shade R,1
Zamarippa F,1
Egan G,5
Blair-West J,1
McKinley M,1
Fox P,3
Chee MW,22
Tan EW,2
Thiel T,2
Dierks T,17
Linden DE,39
Jandl M,2
Formisano E,16
Goebel R,47
Lanfermann H,5
Singer W,11
Lepage M,16
Beaudoin G,7
Boulet C,1
O'Brien I,1
Marcantoni W,1
Bourgouin P,8
Richer F,2
Fletcher P,6
Dolan R,7
Curtis VA,1
Bullmore ET,31
Morris RG,3
Sharma T,13
Murray RM,16
McGuire PK,26
Peterson BS,15
Skudlarski P,10
Zhang H,37
Anderson AW,3
Konishi S,23
Nakajima K,2
Uchida I,3
Kikyo H,5
Kameyama M,1
Miyashita Y,26
Gitelman DR,16
Nobre AC,14
Parrish TB,22
Kim YH,5
Meyer JR,4
Mesulam M,1
Bush G,3
Frazier JA,1
Seidman LJ,15
Rosen BR,7
Biederman J,7
Henson RN,25
Shallice T,12
Petit L,9
Haxby JV,6
Weeks RA,1
Gerloff C,5
Honda M,17
Dalakas MC,1
Hallett M,31
Caplan D,1
Soon CS,6
Sriram N,1
Weekes B,2
Jancke L,36
Buchanan T,1
Lutz K,11
Specht K,29
Mirzazade S,5
Shah NJ,51
Opitz B,11
Mecklinger A,6
Friederici AD,62
von Cramon DY,56
Hoge RD,3
Atkinson J,1
Gill B,1
Crelier GR,2
Marrett S,4
Pike GB,7
Allison T,2
Puce A,10
Spencer DD,3
McCarthy G,18
Belger A,9
Mima T,5
Yazawa S,1
Hanakawa T,25
Fukuyama H,31
Shibasaki H,12
Gerlach C,3
Law I,5
Gade A,3
Paulson OB,9
Burton H,7
Abend NS,1
MacLeod AM,1
Sinclair RJ,3
Halpern AR,5
Grosbras MH,6
Van de Moortele PF,3
LeBihan D,4
Honey GD,6
Soni W,4
Varatheesan M,1
Tamada T,2
Iwata NK,1
Nielsen M,2
Ahlfors SP,3
Simpson GV,5
Liu AK,1
Korvenoja A,6
Virtanen J,1
Huotilainen M,1
Aronen HJ,8
Ilmoniemi RJ,1
Dapretto M,14
Bookheimer SY,27
Sugio T,1
Inui T,7
Matsuo K,11
Matsuzawa M,2
Glover GH,27
Nakai T,13
Armony JL,18
Grady CL,27
McIntosh AR,21
Rajah MN,9
Beig S,1
Craik FI,5
Peyron R,4
Garcia-Larrea L,5
Gregoire MC,1
Convers P,1
Richard A,1
Lavenne F,1
Barral FG,2
Mauguiere F,4
Michel D,1
Laurent B,2
Gallagher HL,1
Happe F,3
Brunswick N,1
Fletcher PC,14
Frith U,4
Orban GA,27
Sunaert S,32
Todd JT,5
Van Hecke P,9
Marchal G,2
Leveroni CL,1
Seidenberg M,7
Mayer AR,14
Mead LA,1
Binder JR,15
Rao SM,16
Ehrsson HH,22
Fagergren A,3
Jonsson T,1
Westling G,2
Johansson RS,4
Forssberg H,11
Victor JD,1
Apkarian P,1
Hirsch J,14
Conte MM,1
Packard M,1
Relkin NR,1
Kim KH,2
Shapley RM,1
Northoff G,28
Richter A,3
Gessner M,1
Schlagenhauf F,15
Fell J,11
Baumgart F,1
Kaulisch T,1
Kotter R,1
Stephan KE,22
Leschinger A,1
Hagner T,2
Bargel B,1
Witzel T,2
Hinrichs H,6
Bogerts B,5
Scheich H,3
Heinze HJ,33
Pollmann S,16
Dove A,2
Yves von Cramon D,2
Wiggins CJ,1
Cohen L,18
Dehaene S,31
Naccache L,5
Lehericy S,19
Dehaene-Lambertz G,7
Henaff MA,1
Michel F,1
Bartels A,5
Zeki S,12
Ochi A,2
Otsubo H,2
Shirasawa A,1
Hunjan A,1
Sharma R,1
Bettings M,1
Rutka JT,2
Kamijo K,1
Yamazaki T,1
Wilson SB,1
Snead OC 3rd,2
Aguirre G,1
Iidaka T,21
Kawashima R,70
Okuda J,6
Umetsu A,1
Sugiura M,45
Inoue K,3
Suzuki K,4
Tabuchi M,1
Tsukiura T,21
Narayan SL,1
Nagasaka T,1
Yanagawa I,1
Fujii T,18
Takahashi S,7
Fukuda H,7
Yamadori A,5
Rickard TC,1
Romero SG,1
Basso G,3
Wharton C,1
Flitman S,1
Grafman J,14
Griffiths TD,15
Green GG,4
Rees A,2
Burgess N,8
Engelien A,2
Huber W,19
Silbersweig D,6
Stern E,7
Doring W,1
Thron A,8
Coull JT,8
Naito E,11
Kinomura S,1
Geyer S,6
Roland PE,3
Zilles K,45
Tanaka S,10
Okada T,21
Nishizawa S,2
Katayama M,1
Konishi J,5
Dong Y,8
Nakamura K,10
Nagahama Y,1
Nagamine T,1
Critchley HD,34
Elliott R,14
Mathias CJ,8
Marois R,9
Leung HC,13
Toma K,6
Zalla T,1
Koechlin E,5
Pietrini P,10
Aquino P,1
Sirigu A,2
Macaluso E,49
Frith C,8
Driver J,32
Clark VP,10
Fannon S,1
Lai S,4
Benson R,1
Bauer L,1
Barnes J,2
Howard RJ,3
Senior C,6
Brammer M,28
Woodruff P,1
David AS,18
Trojano L,3
Grossi D,3
Hacker H,1
Zanella FE,5
Di Salle F,7
Frost JA,2
Hammeke TA,2
Bellgowan PS,6
Springer JA,1
Kaufman JN,1
Possing ET,3
Oohashi T,1
Nishina E,1
Fuwamoto Y,1
Kawai N,1
Maekawa T,1
Nakamura S,1
Szeszko PR,5
Bilder RM,13
Lencz T,2
Ashtari M,2
Goldman RS,1
Reiter G,2
Wu H,7
Lieberman JA,2
Garavan H,34
Ross TJ,15
Li SJ,8
Stein EA,18
Zahn R,9
Drews E,2
Erberich S,1
Krings T,4
Willmes K,23
Schwarz M,3
Ng VW,4
Eslinger PJ,3
Andrew CM,5
Suckling J,25
Benton AL,1
de Zubicaray GI,11
Andrew C,13
Zelaya FO,7
Dumanoir C,1
Seger CA,8
Poldrack RA,28
Prabhakaran V,4
Zhao M,2
Gabrieli JD,29
Lazar RM,1
Marshall RS,1
Pile-Spellman J,1
Duong HC,1
Mohr JP,1
Young WL,1
Solomon RL,1
Perera GM,1
DeLaPaz RL,1
Moore CI,1
Stern CE,15
Corkin S,2
Fischl B,7
Gray AC,1
Laureys S,13
Faymonville ME,2
Degueldre C,20
Fiore GD,1
Damas P,1
Lambermont B,2
Janssens N,1
Aerts J,1
Franck G,1
Luxen A,21
Moonen G,5
Lamy M,2
Maquet P,32
Wojciulik E,1
Clarke K,1
Husain M,3
Paradis AL,5
Cornilleau-Peres V,2
Droulez J,2
Van De Moortele PF,1
Le Bihan D,12
Poline JB,16
Loose R,2
Kimberg DY,3
Mitchell KJ,4
Johnson MK,9
Raye CL,4
Giraud AL,14
Lorenzi C,1
Ashburner J,7
Wable J,1
Johnsrude I,5
Frackowiak R,3
Kleinschmidt A,11
Kurata K,1
Tsuji T,3
Naraki S,1
Seino M,1
Abe Y,1
Martinkauppi S,2
Rama P,4
Carlson S,13
Donner T,1
Kettermann A,1
Diesch E,2
Ostendorf F,1
Villringer A,43
Daly EM,6
Van Amelsvoort T,2
Robertson DM,1
Rowe A,1
Phillips M,6
McAlonan G,2
Howlin P,2
Murphy DG,12
Stanescu-Cosson R,1
Pinel P,7
van De Moortele PF,1
Perry RJ,2
Gerardin E,2
Gaymard B,1
Marsault C,2
Agid Y,2
Wagner AD,13
Maril A,9
Schacter DL,36
Katanoda K,1
Yoshikawa K,1
Sugishita M,3
Chun MM,6
Temple E,8
Protopapas A,2
Nagarajan S,2
Salz T,1
Tallal P,1
Merzenich MM,1
Habib M,1
Marshall JC,12
Weiss PH,17
Halligan PW,4
Ramnani N,7
Cornette L,3
Dupont P,17
Bormans G,1
Mortelmans L,1
Gruber O,25
Wise RJ,9
Scott SK,15
Blank SC,1
Mummery CJ,3
Murphy K,11
Warburton EA,3
Otten LJ,4
Rugg MD,35
Bense S,5
Stephan T,17
Yousry TA,2
Brandt T,19
Dieterich M,17
Ishai A,3
Ungerleider LG,15
Portas CM,1
Krakow K,2
Allen P,7
