,0
Aguirre GK,51.9332493717382
D'Esposito M,40.0718200716295
Jueptner M,194.683136412460
Stephan KM,70.0859291084855
Frith CD,30.4749708602785
Brooks DJ,25.2309344790548
Frackowiak RS,24.9465509652048
Passingham RE,53.4998417202174
Fink GR,21.8929003934249
Pietrzyk U,12.9594062851588
Small DM,66.1248035161989
Jones-Gotman M,13.3854903382651
Zatorre RJ,58.9367836245171
Petrides M,23.0362485012632
Evans AC,19.6485197450898
Sahraie A,82.6564178302900
Weiskrantz L,29.7563104189044
Barbur JL,17.8537862513426
Simmons A,8.00361213118212
Williams SC,6.92012317097677
Brammer MJ,9.72618550804410
Sadato N,12.2097338941826
Yonekura Y,8.71574316463880
Waki A,0
Yamada H,3.09093589426882
Ishii Y,0
Thompson-Schill SL,60.0655619209761
Farah MJ,124.795033712817
Whalen PJ,77.4643369868046
Rauch SL,46.6800402812477
Etcoff NL,140.564581095596
McInerney SC,43.6896309487378
Lee MB,50.6032491944146
Jenike MA,201.017854351745
Sakai K,44.3272014153247
Hikosaka O,30.9687979599729
Miyauchi S,8.06952982721912
Takino R,12.4296480389522
Sasaki Y,5.00339791016199
Putz B,90.6283566058002
Buckner RL,204.198681225201
Goodman J,64.8817644975837
Burock M,38.9290586985502
Rotte M,11.8954632504369
Koutstaal W,46.0144512263269
Schacter D,8.40867667888685
Rosen B,2.28154300526516
Dale AM,30.9701328426341
Spitzer M,10.0419025181611
Kischka U,5.14570980381369
Guckel F,3.40390350473404
Bellemann ME,2.04234210284043
Kammer T,5.31194698621531
Seyyedi S,0.735243157022553
Weisbrod M,0.385000838315652
Schwartz A,0.264687536528119
Brix G,9.45528751315012
Kelley WM,41.8258843720248
Miezin FM,35.3724002519547
McDermott KB,48.3369426918702
Raichle ME,110.308128500514
Cohen NJ,19.5891179858568
Ollinger JM,18.6110557200282
Akbudak E,46.3126332473344
Conturo TE,30.8308874587746
Snyder AZ,59.5062123233559
Petersen SE,49.0943485003987
LaBar KS,60.7562212319772
Gatenby JC,60.9552368547770
Gore JC,34.2807797437596
LeDoux JE,149.715860615586
Phelps EA,155.566584469058
Buchel C,27.5759027500623
Morris J,114.650735294118
Dolan RJ,42.3411742872031
Friston KJ,28.9290585290662
Zarahn E,11.5510492543463
Ballard D,39.4777121374866
Shin RK,23.6866272824919
Lease J,94.9571223226132
Vaina LM,53.4678359850186
Belliveau JW,25.7904712318804
des Roziers EB,9.23161764705882
Zeffiro TA,6.52111712769415
Corbetta M,102.583754250747
Drury HA,22.0456256809473
Linenweber MR,13.2273754085684
Van Essen DC,73.3143475499292
Shulman GL,81.6059836651650
Culham JC,35.0384710559585
Brandt SA,43.8792293233083
Cavanagh P,35.8888292158969
Kanwisher NG,21.5332975295381
Tootell RB,23.0801449669010
Lobel E,34.5793420712372
Kleine JF,38.4108258154060
Bihan DL,23.0464954892436
Leroy-Willig A,13.8278972935461
Berthoz A,14.3472647948363
Wildgruber D,16.4768109889253
Ackermann H,13.8770651184577
Klose U,2.58570437196391
Grodd W,7.27874493288752
Porro CA,21.2032076155972
Cettolo V,30.9375000000000
Francescato MP,18.5625000000000
Baraldi P,14.0585126297346
Van Der Werf YD,19.3305940797372
Weerts JG,11.9327336197637
Jolles J,10.9474111387691
Witter MP,7.00375939849624
Lindeboom J,14.4751611170784
Scheltens P,30.2792136046179
Lumer ED,123.750000000000
Rees G,16.6814714955054
Callicott JH,29.1560446639227
Mattay VS,31.6727060142555
Bertolino A,10.6258945459692
Finn K,29.8426824695884
Coppola R,9.38585251725925
Frank JA,10.7433656890518
Goldberg TE,7.67000712120032
Weinberger DR,16.7893542420499
Toni I,19.6140353783790
Schluter ND,23.2650936849410
Josephs O,17.5571940856872
Friston K,8.18294511429753
Lockwood AH,21.0385393219621
Salvi RJ,13.9258342331902
Coad ML,4.54432449354381
Arnold SA,5.01330032394848
Wack DS,4.98762938831937
Murphy BW,1.80478811662145
Burkard RF,10.1275561681124
Denton D,33.3331138560405
Shade R,11.9999209881746
Zamarippa F,7.19995259290474
Egan G,5.83591346999276
Blair-West J,2.59198293344571
